874, 1162, 1123, 1192
874, 1123, 1136, 1192
874, 928, 1136, 1293
874, 1136, 1192, 1293
1293, 1613, 1680, 1820
1293, 1889, 1757, 1820
874, 1162, 1115, 1192
1162, 1115, 1123, 1192
471, 145, 149, 171
1192, 1123, 1136, 1520
1192, 1136, 1293, 1520
1293, 1520, 1584, 1820
1293, 1520, 1757, 1820
1520, 1584, 1776, 1820
1520, 1744, 1776, 1830
1520, 1757, 1820, 1830
1520, 1776, 1820, 1830
1123, 1136, 1317, 1520
471, 173, 171, 474
474, 171, 173, 198
1192, 1115, 1123, 1371
1192, 1123, 1371, 1520
1192, 1293, 1371, 1520
1293, 1371, 1520, 1757
1520, 1371, 1830, 1668
1520, 1371, 1830, 1757
1192, 1115, 1462, 1371
1123, 1317, 1371, 1520
1520, 1317, 1371, 1668
1371, 1668, 1757, 1779
1371, 1830, 1668, 1757
1293, 1620, 1680, 1820
1293, 1889, 1620, 1757
1293, 1889, 1620, 1820
1192, 1293, 1371, 1620
1293, 1371, 1620, 1757
1192, 1462, 1371, 1620
1371, 1620, 1757, 1779
1192, 1420, 1462, 1620
1420, 1620, 1736, 1802
1420, 1680, 1606, 1620
1420, 1779, 1620, 1736
1420, 1606, 1620, 1802
1620, 1680, 1802, 1820
1620, 1736, 1779, 1889
1620, 1736, 1802, 1889
1620, 1757, 1779, 1889
1620, 1802, 1820, 1889
1620, 1606, 1680, 1802
995, 860, 768, 861
703, 768, 860, 861
851, 703, 781, 861
703, 781, 860, 861
1123, 1115, 1213, 1371
1520, 1247, 1744, 1776
1247, 1744, 1776, 1780
1247, 1776, 1780, 1781
703, 471, 561, 768
703, 471, 474, 561
412, 173, 202, 213
703, 651, 768, 860
703, 651, 781, 860
703, 651, 768, 561
768, 561, 860, 651
1192, 1115, 1462, 1391
1115, 1462, 1371, 1391
1371, 1391, 1668, 1779
1192, 1391, 1115, 1420
1192, 1391, 1420, 1462
1420, 1779, 1391, 1736
1462, 1371, 1391, 1620
1371, 1391, 1620, 1779
1462, 1420, 1391, 1620
1420, 1779, 1391, 1620
1115, 1213, 1371, 1391
1391, 1628, 1668, 1779
1391, 1628, 1715, 1779
1391, 1715, 1736, 1779
394, 167, 168, 173
394, 167, 173, 190
394, 167, 178, 193
394, 167, 190, 193
1520, 1697, 1668, 1830
1520, 1317, 1697, 1668
1697, 1704, 1668, 1880
1697, 1880, 1668, 1830
1520, 1583, 1584, 1776
1520, 1247, 1583, 1776
1247, 1583, 1776, 1781
1583, 1504, 1584, 1870
1583, 1504, 1781, 1870
1583, 1584, 1776, 1870
1583, 1776, 1781, 1870
411, 82, 107, 116
411, 107, 116, 132
411, 107, 126, 132
1123, 1317, 1357, 1371
1317, 1357, 1371, 1668
1123, 1060, 1317, 1357
1123, 1213, 1357, 1371
1123, 1060, 1213, 1357
1371, 1357, 1391, 1668
1371, 1213, 1357, 1391
471, 145, 171, 417
471, 171, 417, 474
474, 171, 198, 417
471, 417, 474, 561
474, 198, 417, 561
417, 145, 155, 183
417, 145, 171, 183
417, 155, 183, 198
417, 171, 183, 198
692, 411, 526, 701
526, 126, 144, 145
1136, 1317, 1480, 1520
1520, 1317, 1697, 1480
1317, 1697, 1480, 1668
1697, 1704, 1480, 1668
1697, 1704, 1480, 1880
1697, 1880, 1480, 1830
1317, 1357, 1480, 1668
1480, 1704, 1748, 1903
1480, 1704, 1880, 1903
1480, 1744, 1830, 1880
1480, 1744, 1880, 1903
1520, 1387, 1830, 1744
1136, 1247, 1387, 1520
1520, 1247, 1387, 1744
1136, 1137, 1247, 1387
1247, 1387, 1780, 1744
1137, 1053, 1247, 1387
1520, 1387, 1697, 1830
1136, 1387, 1480, 1520
1136, 1137, 1480, 1387
1520, 1387, 1697, 1480
1697, 1387, 1480, 1830
1480, 1387, 1830, 1744
471, 145, 417, 546
417, 145, 155, 546
471, 145, 526, 546
471, 526, 546, 779
526, 144, 145, 546
546, 144, 145, 155
471, 417, 561, 573
471, 417, 546, 573
417, 155, 546, 573
779, 526, 546, 783
779, 526, 783, 884
1000, 962, 1074, 1338
1247, 1053, 1248, 1387
1420, 1446, 1736, 1802
1420, 1391, 1446, 1736
1391, 1446, 1715, 1736
1446, 1715, 1736, 1888
1446, 1736, 1802, 1888
1446, 1775, 1801, 1871
1446, 1775, 1802, 1871
1446, 1801, 1871, 1888
1446, 1802, 1871, 1888
768, 860, 897, 687
768, 471, 687, 779
768, 687, 779, 897
768, 471, 561, 687
768, 561, 860, 687
860, 651, 687, 561
897, 687, 779, 904
471, 546, 687, 779
471, 561, 573, 687
471, 546, 573, 687
779, 687, 783, 546
781, 592, 950, 736
1420, 1575, 1606, 1802
1420, 1446, 1575, 1802
1446, 1575, 1775, 1802
1575, 1581, 1606, 1813
1575, 1606, 1775, 1802
1575, 1606, 1775, 1813
373, 120, 127, 133
373, 120, 133, 142
373, 118, 120, 127
394, 167, 178, 327
327, 158, 167, 178
1357, 1449, 1480, 1668
1480, 1449, 1668, 1704
779, 755, 904, 1027
779, 755, 884, 1027
779, 755, 783, 884
779, 687, 755, 904
779, 687, 783, 755
546, 687, 783, 755
1014, 895, 1053, 1137
1137, 895, 1053, 1387
1053, 895, 1248, 1387
546, 568, 573, 155
1338, 1613, 1503, 1584
1338, 1503, 1584, 1504
1338, 1074, 1503, 1504
1503, 1504, 1838, 1876
1503, 1708, 1838, 1876
1503, 1839, 1708, 1838
897, 931, 687, 904
956, 526, 889, 908
956, 526, 884, 908
956, 884, 908, 1027
1391, 1395, 1628, 1715
1391, 1395, 1446, 1715
1395, 1628, 1707, 1715
781, 534, 592, 736
1060, 1200, 1213, 1357
1213, 1200, 1357, 1391
1060, 1027, 1200, 1213
1060, 904, 1027, 1200
1060, 1178, 1200, 1357
1060, 904, 1178, 1200
1338, 1339, 962, 1504
1338, 1339, 1074, 1504
1338, 1339, 962, 1074
394, 178, 193, 395
395, 162, 178, 186
395, 178, 186, 193
395, 191, 162, 186
395, 191, 193, 186
561, 198, 651, 475
475, 198, 203, 214
475, 189, 198, 203
394, 190, 193, 517
394, 193, 395, 517
394, 395, 517, 642
517, 190, 193, 200
1503, 1747, 1318, 1708
1472, 1577, 1318, 1581
1318, 1577, 1581, 1747
1318, 1577, 1708, 1747
592, 213, 381, 462
462, 213, 224, 381
381, 224, 241, 249
1053, 895, 982, 1248
1213, 956, 1027, 1114
956, 908, 1027, 1114
1213, 1027, 1114, 1200
546, 554, 573, 687
546, 554, 687, 755
546, 568, 573, 554
573, 568, 155, 554
411, 594, 734, 896
950, 736, 844, 924
1391, 1536, 1628, 1668
1391, 1357, 1536, 1668
1357, 1449, 1536, 1668
1391, 1200, 1357, 1536
1536, 1628, 1668, 1743
1536, 1668, 1730, 1743
411, 526, 607, 734
526, 144, 513, 546
546, 144, 155, 513
526, 513, 546, 783
546, 513, 755, 783
884, 513, 755, 783
546, 568, 155, 513
546, 513, 554, 755
546, 568, 513, 554
513, 129, 144, 155
734, 594, 876, 896
526, 607, 772, 734
962, 1037, 1180, 1504
962, 1037, 1339, 1504
1065, 844, 989, 833
1065, 833, 989, 1102
1247, 1417, 1248, 1387
1417, 1643, 1709, 1744
526, 734, 827, 889
889, 734, 827, 896
734, 827, 876, 896
896, 827, 876, 1079
526, 772, 734, 827
904, 755, 979, 1027
904, 687, 755, 979
904, 687, 931, 979
904, 931, 979, 1178
904, 979, 1027, 1200
904, 979, 1178, 1200
1446, 1510, 1775, 1801
1446, 1510, 1575, 1775
1480, 1623, 1744, 1903
1480, 1623, 1748, 1903
1480, 1387, 1623, 1744
1387, 1417, 1623, 1744
1417, 1623, 1643, 1744
1623, 1643, 1686, 1748
1623, 1643, 1744, 1903
1623, 1643, 1748, 1903
1074, 986, 1422, 1503
1503, 1318, 1422, 1708
411, 398, 82, 107
1387, 895, 1248, 1254
1387, 1248, 1417, 1254
1180, 989, 1065, 1227
1065, 989, 1102, 1227
1180, 1037, 1227, 1504
989, 1102, 833, 1227
1227, 1504, 1699, 1727
1449, 1519, 1668, 1704
1519, 1668, 1704, 1758
1519, 1668, 1730, 1758
411, 82, 512, 594
411, 512, 594, 734
411, 512, 607, 734
411, 398, 512, 82
411, 398, 607, 512
526, 647, 783, 884
526, 647, 889, 908
526, 647, 884, 908
526, 647, 783, 513
884, 647, 783, 513
526, 647, 889, 827
889, 647, 827, 908
561, 198, 365, 417
417, 155, 198, 365
561, 365, 417, 573
417, 155, 365, 573
561, 365, 573, 687
561, 198, 365, 475
475, 203, 365, 188
475, 203, 365, 189
475, 189, 198, 365
573, 155, 365, 554
573, 365, 554, 687
475, 188, 365, 565
365, 155, 172, 180
365, 155, 180, 189
365, 155, 189, 198
365, 172, 180, 188
365, 180, 188, 189
365, 157, 172, 188
365, 203, 188, 189
1575, 1611, 1775, 1813
1315, 1510, 1575, 1611
1575, 1510, 1611, 1775
1510, 1611, 1775, 1801
1611, 1775, 1801, 1813
462, 224, 381, 420
381, 224, 241, 420
1357, 1178, 1437, 1449
1357, 1178, 1200, 1437
1357, 1449, 1536, 1437
1449, 1536, 1437, 1668
1357, 1200, 1437, 1536
1536, 1437, 1668, 1730
1449, 1437, 1519, 1668
1449, 1178, 1437, 1519
1519, 1437, 1668, 1730
1315, 1222, 1510, 1256
1315, 1256, 1510, 1611
462, 224, 342, 420
420, 224, 241, 342
342, 224, 232, 241
342, 232, 241, 253
342, 232, 248, 253
960, 659, 727, 810
960, 659, 810, 1080
1080, 659, 810, 1170
986, 1216, 1503, 1318
986, 1216, 1503, 1422
1503, 1216, 1318, 1422
1387, 1364, 895, 1402
1387, 1364, 1623, 1402
1387, 1402, 1417, 1623
1417, 1402, 1623, 1643
1623, 1402, 1686, 1643
1387, 895, 1254, 1402
1387, 1254, 1402, 1417
895, 1207, 1364, 1402
895, 1207, 1254, 1402
1315, 1394, 1446, 1510
1315, 1222, 1510, 1394
1222, 1256, 1394, 1510
1446, 1395, 1557, 1715
1395, 1557, 1707, 1715
1446, 1223, 1395, 1557
1446, 1223, 1394, 1557
1557, 1707, 1715, 1900
1557, 1707, 1836, 1900
475, 203, 214, 419
419, 203, 214, 227
687, 756, 931, 813
1339, 1037, 1504, 1559
1037, 1227, 1504, 1559
1227, 1559, 1699, 1504
1027, 1224, 1114, 1200
1200, 1224, 1437, 1536
526, 607, 772, 719
734, 607, 772, 719
734, 719, 827, 876
526, 772, 719, 827
734, 772, 719, 827
1178, 1200, 1231, 1437
1178, 1231, 1437, 1519
526, 126, 144, 391
526, 144, 391, 513
513, 129, 144, 391
526, 391, 513, 647
391, 97, 126, 129
391, 126, 129, 144
1074, 986, 1022, 1422
986, 1022, 1216, 1422
687, 940, 756, 931
931, 756, 813, 940
342, 232, 248, 413
413, 215, 219, 328
413, 215, 232, 328
413, 219, 248, 328
413, 232, 248, 328
568, 452, 155, 554
568, 452, 155, 513
755, 452, 513, 554
568, 452, 513, 554
513, 129, 155, 452
554, 365, 452, 155
449, 146, 152, 162
146, 142, 147, 162
146, 147, 152, 162
146, 154, 142, 162
1178, 1231, 1372, 1519
1519, 1231, 1372, 1595
535, 146, 449, 596
844, 830, 924, 1102
844, 830, 833, 1102
1510, 1256, 1534, 1611
1339, 1037, 1403, 1559
594, 810, 836, 887
411, 107, 126, 326
411, 126, 326, 526
411, 326, 526, 607
411, 398, 107, 326
411, 398, 607, 326
398, 82, 107, 326
607, 398, 326, 512
398, 512, 82, 326
526, 326, 607, 719
526, 126, 326, 391
